"","name","count","rank","rank_percent","us_rank","us_total_occurences"
"286","lyons","63,240",286,76.9,339,"82,258"
"287","mullins","63,201",287,89.9,416,"70,286"
"288","wade","62,654",288,67.5,297,"92,834"
"289","baldwin","62,624",289,79.1,361,"79,151"
"290","vaughn","62,613",290,73.6,327,"85,037"
"291","mueller","62,350",291,97,467,"64,305"
"292","chambers","62,144",292,68.8,305,"90,325"
"293","page","62,108",293,77.2,354,"80,493"
"294","parks","61,720",294,71.5,322,"86,346"
"295","blair","61,708",295,82.1,380,"75,135"
"296","fields","61,677",296,59.7,264,"103,242"
"297","parsons","61,377",297,92.7,453,"66,203"
"298","fletcher","61,120",298,75.5,352,"80,932"
"299","watts","61,058",299,70.8,324,"86,228"
"300","sims","60,957",300,56.8,254,"107,244"
"301","ramsey","60,948",301,79.5,373,"76,625"
"302","hartman","60,904",302,95.4,470,"63,827"
"303","kramer","60,798",303,96.5,474,"63,023"
"304","bush","60,442",304,74.1,346,"81,524"
"305","horton","60,262",305,72.2,335,"83,523"
"306","bauer","59,711",306,96.3,484,"61,979"
"307","barber","59,581",307,77.9,376,"76,504"
"308","sherman","59,301",308,84.9,422,"69,840"
"309","douglas","59,147",309,61.3,286,"96,425"
"310","graves","59,128",310,72,340,"82,179"
"311","chandler","58,433",311,76.8,379,"76,114"
"312","cross","58,364",312,77.7,382,"75,134"
"313","barton","58,048",313,87.1,447,"66,622"
"314","harmon","57,938",314,80,399,"72,414"
"315","cummings","57,891",315,75.5,372,"76,707"
"316","flynn","57,820",316,93.6,487,"61,747"
"317","todd","57,810",317,82.8,423,"69,810"
"318","mckinney","57,697",318,71.6,353,"80,616"
"319","goodman","57,657",319,80.7,409,"71,482"
"320","terry","57,421",320,68.8,336,"83,437"
"321","casey","57,368",321,88.5,463,"64,815"
"322","frank","57,144",322,86.7,454,"65,918"
"323","dawson","56,518",323,70.5,355,"80,190"
"324","owen","56,446",324,93.4,496,"60,461"
"325","newton","56,344",325,77.9,400,"72,328"
"326","thornton","56,290",326,69.3,347,"81,191"
